"IPAddress","HostOctet","UsableHost","Reachable","LatencyMs","Hostname","CheckedAt","Name","Description","Notes","CredentialRef","MgmtReachable","LastUpdated"
"192.168.1.228","228","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.229","229","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.230","230","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.231","231","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.232","232","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.233","233","TRUE","TRUE","0","49TCLRokuTV2.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.234","234","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.235","235","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.236","236","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.237","237","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.238","238","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.239","239","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.240","240","TRUE","TRUE","2","AFi-P-HD-93A6E3.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.241","241","TRUE","TRUE","2","AFi-P-HD-F6D56B.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.242","242","TRUE","TRUE","14","MyQ-4B7.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.243","243","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.244","244","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.245","245","TRUE","TRUE","161","amazon-c74859843.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.246","246","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.247","247","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.248","248","TRUE","TRUE","240","wlan0.localdomain","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.249","249","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.250","250","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.251","251","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.252","252","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.253","253","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.254","254","TRUE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
"192.168.1.255","255","FALSE","FALSE","","","4/11/2026 14:49","","","","","","4/11/2026 14:49"
